, 1632
，, 547
、, 331
的, 268
。, 198
和, 145
发展, 105
中国, 94
社会主义, 78
人民, 68
是, 63
全面, 55
坚持, 53
特色, 50
党, 49
新, 49
实现, 47
建设, 46
社会, 43
在, 42
了, 41
时代, 39
国家, 38
伟大, 35
推进, 34
更加, 34
（, 34
）, 34
必须, 33
“, 32
”, 32
制度, 32
我们, 31
我国, 30
为, 26
中华民族, 26
政治, 26
经济, 24
掌声, 24
；, 24
现代化, 23
文化, 23
不断, 22
复兴, 21
基本, 21
体系, 21
重大, 20
中, 20
到, 20
法治, 20
上, 20
生态, 20
战略, 19
不, 19
世界, 19
安全, 19
建成, 18
要, 18
创新, 18
治理, 18
思想, 17
理论, 16
文明, 16
斗争, 16
以, 15
问题, 15
对, 14
改革, 14
从, 14
坚决, 14
领导, 14
推动, 14
历史, 14
一切, 14
小康社会, 13
民主, 13
生活, 13
把, 12
全, 12
工作, 12
等, 12
取得, 12
加强, 12
二, 12
解决, 12
民族, 12
始终, 11
根本, 11
大, 11
依法治国, 11
增强, 11
全党, 11
国际, 11
实践, 11
！, 11
更, 11
中国共产党, 10
奋斗, 10
人, 10
团结, 10
贯彻, 10
来, 10
提高, 10
成为, 10
方面, 10
完善, 10
自信, 10
稳定, 10
一个, 10
要求, 10
目标, 10
重要, 9
变化, 9
五年, 9
事业, 9
能力, 9
主, 9
道路, 9
进行, 9
向, 8
同志, 8
会, 8
进入, 8
主义, 8
梦, 8
带领, 8
治, 8
党的领导, 8
实力, 8
人民军队, 8
维护, 8
提出, 8
自觉, 8
明确, 8
〇, 8
们, 7
就, 7
深刻, 7
勇于, 7
一, 7
党和国家, 7
总, 7
统筹, 7
深入, 7
体制, 7
各, 7
领域, 7
统一, 7
党内, 7
持续, 7
教育, 7
力量, 7
人类, 7
力, 7
意识, 7
党的建设, 7
最, 7
基础, 7
强大, 7
民生, 7
美好生活, 7
有, 7
梦想, 7
决胜, 6
社, 6
也, 6
变革, 6
全国, 6
以来, 6
改革开放, 6
作出, 6
布局, 6
实施, 6
保持, 6
水平, 6
国, 6
广泛, 6
巩固, 6
强, 6
有效, 6
中华, 6
显著, 6
保障, 6
合作, 6
强军, 6
形成, 6
坚定, 6
中央, 6
反对, 6
和平, 6
命运, 6
坚强, 6
而, 6
充分, 6
矛盾, 6
需要, 6
走, 6
创造, 6
全体, 6
将, 6
认识, 6
更好, 6
都, 6
地, 6
和谐, 6
伟大工程, 6
初心, 5
使命, 5
夺取, 5
奋斗目标, 5
各族人民, 5
全球, 5
性, 5
精神, 5
政府, 5
协调, 5
理念, 5
提升, 5
发, 5
前列, 5
深化, 5
科学, 5
指导, 5
地位, 5
核心, 5
繁荣, 5
得到, 5
脱贫, 5
状况, 5
国防, 5
军队, 5
一国两制, 5
香港, 5
原则, 5
构建, 5
促进, 5
治党, 5
风险, 5
平衡, 5
面貌, 5
又, 5
强国, 5
共同富裕, 5
日益增长, 5
革命, 5
利益, 5
义, 5
确保, 5
共同, 5
两个, 5
注重, 5
大会, 4
阶段, 4
谋, 4
这个, 4
挑战, 4
历史性, 4
十八, 4
面对, 4
成就, 4
党中央, 4
深化改革, 4
总体布局, 4
完成, 4
坚定不移, 4
主要, 4
区域, 4
成果, 4
积极, 4
健全, 4
机制, 4
体, 4
活力, 4
政, 4
有机, 4
明显, 4
体制改革, 4
意识形态, 4
马克思主义, 4
高, 4
改善, 4
收入, 4
绿色, 4
环境, 4
应对, 4
澳门, 4
两岸, 4
领导人, 4
外交, 4
条件, 4
创, 4
三, 4
实, 4
化, 4
作用, 4
已经, 4
